"Investor? (1=investor, 2=influencer, 3=no)",screen_name,description,lang,followers_count,friends_count,statuses_count,listed_count,profile_image_url,url,is_protected,verified,last_tweet,tweets_per_day,member_since,follow_date,unfollow_date,followed_date,unfollowed_date,tags,notes,country,city
3,davidadler,"Founder & CEO of http://BizBash.com, the largest site for event & meeting pros looking for venues, suppliers and news. Subscribe: http://bizba.sh/1PegJWJ",en,61615,47222,10874,851,https://pbs.twimg.com/profile_images/708655209917128704/9VIBtOB6_normal.jpg,http://www.bizbash.com,0,0,Sat May 28 2016 19:40:56 GMT+0000 (UTC),3.81,Tue Aug 05 2008 13:27:04 GMT+0000 (UTC),,,,,,,,
3,evgone,"#Technology, science, self-development, organizational methods, #SM, #SMM.
Following #business trends and developments. 
 Top 1% Kred.",en,54852,61225,100303,1110,https://pbs.twimg.com/profile_images/2099854689/001_Ed_Cafesmall_normal.jpg,http://xeeme.com/EdVayn,0,0,Tue May 31 2016 00:05:18 GMT+0000 (UTC),45.49,Mon May 17 2010 21:39:15 GMT+0000 (UTC),,,,,,,,
3,RichardGarriott,Exploration of the virtual and the real. Join me in the creation of my new Virtual World in Shroud of the Avatar! #LBSotA http://www.ShroudOfTheAvatar.com,en,35779,1240,16186,1034,https://pbs.twimg.com/profile_images/3326841404/f2ece840cfc33c54878d9b4b22db327f_normal.jpeg,,0,1,Mon May 30 2016 14:02:15 GMT+0000 (UTC),6.35,Sat Jun 06 2009 17:50:33 GMT+0000 (UTC),,,,,,,,
1,DCConnect,"Husband, Father, Investor, Networker and Youth Basketball Coach",en,20047,2295,6817,327,https://pbs.twimg.com/profile_images/1112273004/images-1_normal.jpeg,,0,0,Sun Mar 06 2016 18:27:29 GMT+0000 (UTC),2.71,Fri Jul 10 2009 20:02:27 GMT+0000 (UTC),,,,,,,,
3,PhilbTown,Author of #1 NY Times best sellers RULE #1 & PAYBACK TIME,en,18315,17083,1397,220,https://pbs.twimg.com/profile_images/486405751/payback_headshot_normal.jpg,http://PaybackTime.com,0,0,Fri Jan 23 2015 21:26:44 GMT+0000 (UTC),0.52,Thu Jan 01 2009 22:57:52 GMT+0000 (UTC),,,,,,,,
1,johnrutledge,"Dad, Husband, Economist, Investor, Professor",en,13081,10807,8712,378,https://pbs.twimg.com/profile_images/513199702599168000/b7eI5XHm_normal.jpeg,http://www.linkedin.com/in/drjohnrutledge,0,0,Tue May 31 2016 00:02:40 GMT+0000 (UTC),3.02,Fri Jul 04 2008 23:27:30 GMT+0000 (UTC),,,,,,,,
3,jeremysliew,overcompensating for a geeky youth,en,12350,745,3139,850,https://pbs.twimg.com/profile_images/3254380090/411cd63023b2891453d1520229329874_normal.jpeg,http://lsvp.com/blog/,0,0,Fri May 27 2016 20:35:50 GMT+0000 (UTC),1.19,Thu Mar 12 2009 16:21:46 GMT+0000 (UTC),,,,,,,,
1,etolson,"Technologist and investor. Would-be scientist, economist, and political commentator.",en,8501,9074,970,56,https://pbs.twimg.com/profile_images/474306686753067009/W0168tvU_normal.jpeg,,0,0,Sun May 29 2016 10:58:03 GMT+0000 (UTC),0.43,Mon Apr 12 2010 12:14:42 GMT+0000 (UTC),,,,,,,,
3,asanwal,"Every week, I give $100 to every person who gets our newsletter. Get it here https://www.cbinsights.com/newsletter -- lucky to be working @cbinsights",en,8344,122,5645,345,https://pbs.twimg.com/profile_images/737424606215188480/IZvn6yRF_normal.jpg,https://www.cbinsights.com/newsletter,0,0,Mon May 30 2016 22:23:09 GMT+0000 (UTC),2.01,Thu Sep 18 2008 18:20:06 GMT+0000 (UTC),,,,,,,,
3,JEThompson49,"I make stuff up, mainly thrillers & mysteries. Middle Grade (J. E. Thompson) and Adult. Even won some awards. Repped by Stephen Barbara, Inkwell",en,8086,7772,4334,164,https://pbs.twimg.com/profile_images/3493937104/4150bc8b526e35f81ca1ad588aa141f1_normal.jpeg,http://www.booksbyjohnthompson.com/,0,0,Mon May 30 2016 12:19:49 GMT+0000 (UTC),1.81,Sun Nov 08 2009 12:10:27 GMT+0000 (UTC),,,,,,,,
3,gunderstone,"Father of 4 under the age of 11; IT Geek; Author Another Sunset, As Life Goes (series), I, Hero (series)  #RRBC",en,7109,5289,107883,437,https://pbs.twimg.com/profile_images/540228565678055424/8OxqEFEv_normal.jpeg,http://www.amazon.com/Jason-Zandri/e/B001KHCW5S/,0,0,Tue May 31 2016 00:00:25 GMT+0000 (UTC),41.2,Mon Mar 30 2009 13:15:29 GMT+0000 (UTC),,,,,,,,
3,BobSchwartz,"Love Building Commerce Companies | Enable others Success | xPresident Magento | Board Good360 | Founder http://NORDSTROM.com | Speaker | Hubby, Dad |",en,7011,995,6819,296,https://pbs.twimg.com/profile_images/2653493576/0e104a5493eb7284e2e915559132d0fe_normal.jpeg,http://www.47Bstreet.com,0,0,Mon May 30 2016 19:12:56 GMT+0000 (UTC),2.31,Mon May 05 2008 00:41:39 GMT+0000 (UTC),,,,,,,,
1,markturok,Find Solutions. Invest in New Opportunities. Open New Markets.               | Import/Export | China | Russia | Maritime | Wine |,en,6283,6885,5066,198,https://pbs.twimg.com/profile_images/627988580695064576/oDTFOk5W_normal.jpg,http://www.wwwealthmgt.com/wow,0,0,Mon May 30 2016 23:54:53 GMT+0000 (UTC),1.92,Wed Mar 11 2009 05:20:57 GMT+0000 (UTC),,,,,,,,
